Date,Open,Close,High,Low,Volume,Volatility,PercentageChange,Change,TurnoverRatio
2023-01-31,1896.5,1845.76,1899.95,1833.07,32991,3.54,-2.24,-42.24,0.26
2023-02-01,1854.98,1844.97,1859.0,1811.4,33974,2.58,-0.04,-0.79,0.27
2023-02-02,1848.38,1836.11,1859.0,1826.0,29759,1.79,-0.48,-8.86,0.24
2023-02-03,1820.0,1818.0,1826.0,1795.68,34945,1.65,-0.99,-18.11,0.28
2023-02-06,1780.0,1795.0,1795.0,1760.0,42661,1.93,-1.27,-23.0,0.34
2023-02-07,1808.08,1797.0,1808.8,1787.73,24322,1.17,0.11,2.0,0.19
2023-02-08,1800.01,1784.0,1805.97,1775.0,16676,1.72,-0.72,-13.0,0.13
2023-02-09,1778.0,1818.0,1829.75,1775.01,29754,3.07,1.91,34.0,0.24
2023-02-10,1810.1,1810.0,1818.49,1801.05,17985,0.96,-0.44,-8.0,0.14
2023-02-13,1810.0,1856.35,1874.5,1810.0,38147,3.56,2.56,46.35,0.3
2023-02-14,1856.46,1843.79,1857.4,1835.0,19566,1.21,-0.68,-12.56,0.16
2023-02-15,1843.78,1841.0,1855.3,1835.81,18177,1.06,-0.15,-2.79,0.14
2023-02-16,1841.34,1861.82,1887.0,1828.0,33246,3.2,1.13,20.82,0.26
2023-02-17,1850.16,1820.78,1873.0,1820.05,26443,2.84,-2.2,-41.04,0.21
2023-02-20,1821.0,1875.0,1878.8,1817.2,29669,3.38,2.98,54.22,0.24
2023-02-21,1874.0,1867.0,1874.0,1851.0,18751,1.23,-0.43,-8.0,0.15
2023-02-22,1855.01,1836.0,1863.9,1831.8,21869,1.72,-1.66,-31.0,0.17
2023-02-23,1840.0,1818.0,1848.8,1805.25,21881,2.37,-0.98,-18.0,0.17
2023-02-24,1810.11,1788.0,1810.19,1782.18,24635,1.54,-1.65,-30.0,0.2
2023-02-27,1778.5,1810.41,1815.0,1775.02,22065,2.24,1.25,22.41,0.18
2023-02-28,1819.0,1813.74,1822.01,1783.3,23952,2.14,0.18,3.33,0.19
2023-03-01,1813.0,1838.53,1848.0,1803.23,24458,2.47,1.37,24.79,0.19
2023-03-02,1829.0,1828.0,1838.99,1821.1,13144,0.97,-0.57,-10.53,0.1
2023-03-03,1839.77,1818.04,1841.61,1802.48,16198,2.14,-0.54,-9.96,0.13
2023-03-06,1818.18,1807.14,1818.5,1796.77,20646,1.2,-0.6,-10.9,0.16
2023-03-07,1805.98,1788.3,1816.6,1788.0,22785,1.58,-1.04,-18.84,0.18
2023-03-08,1780.02,1770.42,1785.94,1761.12,22764,1.39,-1.0,-17.88,0.18
2023-03-09,1768.0,1770.02,1785.0,1740.0,27612,2.54,-0.02,-0.4,0.22
2023-03-10,1751.57,1750.0,1781.0,1750.0,21161,1.75,-1.13,-20.02,0.17
2023-03-13,1751.0,1762.0,1775.0,1749.0,20560,1.49,0.69,12.0,0.16
2023-03-14,1763.78,1766.0,1779.88,1738.5,23705,2.35,0.23,4.0,0.19
2023-03-15,1778.37,1750.92,1784.88,1750.12,19213,1.97,-0.85,-15.08,0.15
2023-03-16,1740.0,1751.99,1770.0,1739.01,17646,1.77,0.06,1.07,0.14
2023-03-17,1770.0,1742.0,1775.89,1736.0,27023,2.28,-0.57,-9.99,0.22
2023-03-20,1751.0,1729.6,1755.0,1728.0,20491,1.55,-0.71,-12.4,0.16
